Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variável - Quantidade produzida (Toneladas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ano x Produto das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Total;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Abadia de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;160;-;-;-;...;-;-;-;-;...;350;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;525;-;-;-;-;-;143;-;-;-;-;-;820;-;-;-;-;-;-;-;2890;688;15;-;-;-;-;-;-
Abadiânia (GO);..;52;-;-;...;-;-;-;-;-;-;-;-;-;-;93;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2029;40;-;-;-;-;-;2609;-;-;-;-;-;9612;-;-;-;-;-;-;-;28000;3662;768;4532;-;-;-;-;-
Acreúna (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;2475000;...;-;-;-;-;-;-;-;-;-;-;-;1277;-;-;585;-;-;-;-;-;-;-;-;-;-;203;-;-;-;-;-;152012;-;-;-;-;-;-;-;203300;54760;-;9208;-;-;-;-;-
Adelândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;430;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1470;-;-;-;-;-;-;-;1710;-;-;-;-;-;-;-;-
Água Fria de Goiás (GO);..;-;-;-;...;-;-;2897;-;-;-;-;966;-;28995;-;...;-;-;-;-;...;-;...;-;-;16800;-;-;-;-;-;-;-;-;12014;-;-;-;-;-;-;6817;-;-;-;-;-;-;1806;-;-;-;-;-;143500;-;-;-;-;-;-;-;146323;5123;1788;11850;8589;-;-;-;-
Água Limpa (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;540;-;-;-;-;-;-;-;1037;-;-;-;-;-;-;-;-
Águas Lindas de Goiás (GO);..;-;-;-;...;-;-;25;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;137;-;-;-;-;-;-;-;-;-;210;-;67;-;-;-;1404;-;-;-;-;-;-;-;2143;-;-;602;-;-;-;-;3
Alexânia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;524;-;-;-;-;-;-;-;99;-;-;-;-;-;1343;-;-;-;-;-;15870;-;-;-;-;-;-;-;17978;4690;1116;3680;-;-;-;-;-
Aloândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;522;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;5200;-;-;-;-;-;-;-;9860;450;-;-;-;-;-;-;-
Alto Horizonte (GO);..;-;-;-;...;-;-;-;-;-;-;-;74;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;108;-;-;-;-;-;1740;-;-;-;-;-;-;-;-
Alto Paraíso de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;11108;-;-;-;-;-;-;-;-;-;-;-;-;-;912;-;-;-;-;-;38915;-;-;-;-;-;-;-;54549;1080;-;-;3427;-;-;-;-
Alvorada do Norte (GO);..;-;-;-;...;-;-;-;-;2100;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;330;-;-;-;-;-;-;100;-;-;-;-;-;5940;-;-;-;-;-;-;-;10895;-;-;-;-;-;-;-;-
Amaralina (GO);..;-;-;-;...;-;-;-;-;-;-;-;69;-;-;-;...;-;-;-;-;...;525;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;900;-;-;-;-;-;-;-;10368;-;-;-;-;-;-;-;-
Americano do Brasil (GO);..;-;-;-;...;-;-;-;-;-;-;-;160;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2975;-;-;-;-;-;3500;-;-;-;-;-;-;-;2340;-;-;-;-;-;-;-;-
Amorinópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306;-;-;-;-;-;14508;-;-;-;-;-;-;-;22500;-;-;-;-;-;-;-;-
Anápolis (GO);..;90;-;-;...;-;-;-;-;-;-;-;29970;-;-;1216;...;-;68;68;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;5125;150;-;-;-;-;-;3421;-;-;-;-;-;11115;-;-;-;-;-;-;-;37950;2655;5451;4315;-;-;-;-;-
Anhanguera (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1614;-;-;-;-;-;-;-;-
Anicuns (GO);..;-;-;-;...;-;-;-;-;-;-;-;800;-;-;-;...;-;-;-;-;...;616200;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3200;-;-;-;-;-;17700;-;-;-;-;-;-;-;19800;1250;-;-;-;-;-;-;-
Aparecida de Goiânia (GO);..;-;-;-;...;-;-;-;-;-;-;-;100;-;-;-;...;-;-;-;-;...;150;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;322;-;-;-;-;-;-;-;1001;-;-;-;-;-;-;-;-
Aparecida do Rio Doce (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3100;-;-;-;-;-;-;-;8125;-;-;-;-;-;-;-;-
Aporé (GO);..;-;-;-;...;-;-;-;4000;-;-;-;-;-;-;-;...;-;-;-;-;...;2975000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5163;-;-;-;-;-;-;-;-;-;-;-;-;18600;-;-;-;-;-;-;-;112000;1350;-;-;-;-;-;-;-
